path,label
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.3_tausyih_sika_mishri_ar-rahman/3.0_tausyih_sika_mishri_v3_a.wav,40
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.3_tausyih_sika_mishri_ar-rahman/3.1_tausyih_sika_mishri_v3_a.wav,40
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.3_tausyih_sika_mishri_ar-rahman/3.0_ar-rahman_sika_mishri_v3_a.wav,40
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.3_tausyih_sika_mishri_ar-rahman/3.1_ar-rahman_sika_mishri_v3_a.wav,40
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.3_tausyih_sika_mishri_ar-rahman/3.2_ar-rahman_sika_mishri_v3_a.wav,40
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.3_tausyih_sika_mishri_ar-rahman/3.3_ar-rahman_sika_mishri_v3_a.wav,40
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.0_tausyih_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.1_tausyih_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.2_tausyih_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.0_ar-rahman_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.1_ar-rahman_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.2_ar-rahman_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.3_ar-rahman_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.4_ar-rahman_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab_2_ar-rahman/2.1.5_ar-rahman_jiharkah_jawab_v3_b.wav,43
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.0_tausyih_sika_turki_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.1_tausyih_sika_turki_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.2_tausyih_sika_turki_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.0_ar-rahman_sika_ashli_v3_a.wav,39
